,x1,x2,x3,dx1,dx2,dx3,rkStep
16.401,-4.235564689329281,1.4157064377777353,29.673880799234425,56.51271127107016,5.67412396960587,-85.12666499626597,3.0
16.402,-4.1793060869018905,1.4211521613927647,29.588895803272464,56.00458248294656,5.219329740676715,-84.84315202058247,3.0
16.403,-4.12355532753921,1.4261490792499696,29.504194822317853,55.49704406789179,4.776481493975708,-84.55865749312062,3.0
16.404,-4.068311764587253,1.4307090445050992,29.419778771274338,54.99020809092352,4.345393633781523,-84.27331382752638,2.0
16.405,-4.0135746408103055,1.4348437249086576,29.335648435254946,54.48418365718963,3.9258809638685586,-83.9872482151657,2.0
16.406,-3.9593430913333143,1.4385646032598918,29.25180447473791,53.979076945932064,3.5177587954937777,-83.70058275598812,2.0
16.407,-3.90561614654994,1.4418829779661024,29.16824743059216,53.474991245160425,3.1208430501201185,-83.41343458842569,2.0
16.408,-3.8523927349973266,1.444809963702003,29.084977728976124,52.9720269869933,2.7349503570395166,-83.12591601822034,2.0
16.409,-3.7996716861934976,1.447356492164323,29.00199568610559,52.4702817835782,2.359898146019119,-82.83813464605336,2.0
16.41,-3.7474517334385817,1.4495333129166157,28.919301512894624,51.96985046355198,1.9955047351330524,-82.55019349388533,2.0
16.411,-3.695731516581004,1.4513509943194836,28.836895319473438,51.47082510900488,1.64158941393763,-82.26219112992352,2.0
16.412,-3.644509584744809,1.4528199245417808,28.754777119579394,50.9732950928659,1.2979725221114,-81.97422179211246,2.0
16.413,-3.593784399019421,1.4539503126482378,28.672946834825293,50.47734711667658,0.9644755237163989,-81.68637551007876,2.0
16.414,-3.5435543351130883,1.4547521897591773,28.591404298849127,49.98306524872266,0.6409210772321647,-81.39873822546738,2.0
16.415,-3.4938176859664014,1.455235410278249,28.510149261341734,49.490530962446506,0.3271331014801979,-81.11139191058601,2.0
16.416,-3.4445726643273,1.4554096531840799,28.429181391956657,48.9998231751138,0.022936837587761882,-80.82441468530703,2.0
16.417,-3.3958174052888754,1.4552844233819566,28.348500284106606,48.51101828670832,-0.2718410928646251,-80.53788093218385,2.0
16.418,-3.3475499687866077,1.4548690531118111,28.26810545864313,48.02419021898419,-0.5573726333994793,-80.25186140971472,2.0
16.419,-3.2997683420564994,1.4541727034088419,28.187996367423963,47.53941045465341,-0.833828241761626,-79.96642336372177,2.0
16.42,-3.252470442055503,1.453204365613309,28.108172396772513,47.05674807668812,-1.1013768424644095,-79.68163063681666,2.0
16.421,-3.2056541178410694,1.4519728629261004,28.02863287082631,46.57626980767169,-1.3601857826561263,-79.3975437759027,2.0
16.422,-3.1593171529113526,1.4504868520068164,27.949377054778935,46.09804004918169,-1.6104207911746178,-79.11422013769469,2.0
